Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146511,425334,G,17.49,-2.17,1.96,17.24,2.92,1.79,2.40,-1,G,8.52,1.85,-1.62,8.16,2.46,1.81,-0.72,1,3.10
146511,891022,G,12.34,1.42,-2.91,11.69,3.24,-1.12,-1.12,1,G,9.81,-1.39,2.85,9.34,3.18,-1.10,2.02,-1,3.09
146807,2310455,T,5.71,1.03,-0.84,5.55,1.33,2.13,-0.68,1,T,4.28,-1.01,0.83,4.16,1.30,2.06,2.46,-1,3.11
146807,2389104,G,22.13,-3.41,1.92,21.65,3.91,2.40,2.63,-1,G,10.55,2.95,-1.65,10.20,3.39,2.59,-0.51,1,3.10
147043,560398,G,8.92,0.77,2.19,8.59,2.32,2.01,1.23,1,G,6.40,-0.66,-2.05,6.16,2.16,2.04,-1.88,-1,3.08
147194,128944,G,15.72,-2.04,-1.67,15.50,2.64,2.46,-2.46,-1,G,7.92,1.85,1.55,7.69,2.41,2.40,0.70,1,3.12
148031,4459221,G,40.21,3.18,-2.95,39.90,4.34,2.92,-0.75,1,G,18.65,-2.91,2.71,18.25,3.97,2.91,2.39,-1,3.69
148031,4892011,G,6.89,1.21,-0.97,6.71,1.55,2.16,-0.68,-1,G,5.43,-1.13,0.91,5.27,1.45,2.13,2.46,1,3.69
148822,789014,G,11.06,-1.83,2.05,10.74,2.74,1.99,2.30,1,G,8.42,1.71,-1.92,8.17,2.57,2.00,-0.84,-1,3.68
146807,5567092,G,32.18,-4.92,3.84,31.34,6.24,2.30,2.48,-1,G,18.91,4.78,-3.71,18.30,6.05,2.27,-0.66,1,9.44
147043,1198873,G,29.45,4.21,-2.93,28.93,5.13,2.43,-0.61,1,G,16.32,-4.09,2.84,15.83,4.98,2.40,2.53,-1,9.46
147194,3320144,G,12.84,-2.13,1.74,12.50,2.75,2.21,2.46,1,G,9.17,2.05,-1.66,8.86,2.64,2.18,-0.68,-1,9.45
147755,889201,G,20.71,2.94,-2.09,20.30,3.61,2.38,-0.62,-1,G,15.05,-2.81,1.99,14.66,3.45,2.36,2.51,1,9.47
148031,1882017,G,18.42,-2.45,2.18,18.13,3.28,2.39,2.41,1,G,14.29,2.35,-2.09,14.02,3.15,2.38,-0.73,-1,9.46
148822,2041988,G,52.13,-6.23,4.91,51.41,7.94,2.55,2.47,-1,G,28.42,6.05,-4.74,28.05,7.68,2.51,-0.66,1,10.02
146511,3445102,G,14.18,-2.34,1.92,13.81,3.03,2.20,2.46,-1,G,11.54,2.27,-1.86,11.20,2.93,2.18,-0.69,1,10.04
147043,9081122,G,42.18,5.91,-4.03,41.45,7.16,2.45,-0.60,1,G,24.32,-5.74,3.91,23.83,6.94,2.42,2.54,-1,10.36
148031,7723416,G,9.62,1.45,-1.12,9.39,1.83,2.34,-0.66,-1,G,7.18,-1.41,1.09,6.96,1.78,2.32,2.48,1,10.37
146511,234556,G,3.41,0.52,-0.41,3.34,0.66,2.32,-0.67,1,G,2.65,-0.51,0.40,2.58,0.65,2.31,2.47,-1,1.01
146807,567890,T,2.18,0.41,0.32,2.14,0.52,2.13,0.66,-1,T,1.89,-0.40,-0.31,1.85,0.51,2.10,-2.48,1,0.78
147043,889234,G,4.92,0.81,-0.65,4.81,1.04,2.24,-0.68,1,G,3.71,-0.79,0.63,3.62,1.01,2.20,2.47,-1,1.45
147194,1245678,G,6.18,1.05,-0.89,6.02,1.38,2.18,-0.70,-1,G,4.82,-1.02,0.86,4.69,1.34,2.16,2.44,1,1.85
147755,2301244,T,7.93,1.34,-1.18,7.71,1.79,2.16,-0.72,1,T,5.41,-1.30,1.14,5.24,1.73,2.13,2.42,-1,2.21
148031,3401298,G,5.32,0.92,-0.71,5.18,1.16,2.21,-0.66,-1,G,4.18,-0.89,0.69,4.06,1.13,2.19,2.48,1,2.43
148822,1098445,G,8.71,1.41,-1.21,8.50,1.86,2.23,-0.71,1,G,6.41,-1.38,1.18,6.23,1.81,2.20,2.43,-1,3.81
146511,5512908,G,11.34,1.87,-1.55,11.09,2.43,2.22,-0.69,1,G,8.95,-1.83,1.51,8.71,2.37,2.20,2.45,-1,4.92
146807,7783341,T,12.84,2.15,-1.74,12.55,2.76,2.20,-0.68,-1,T,9.43,-2.10,1.69,9.18,2.69,2.18,2.46,1,5.71
147043,9912234,G,15.32,2.51,-2.05,14.97,3.24,2.21,-0.68,1,G,11.21,-2.45,2.00,10.93,3.16,2.20,2.46,-1,6.83
147194,1234567,G,18.41,3.05,-2.49,17.97,3.94,2.20,-0.68,-1,G,13.85,-2.99,2.43,13.49,3.85,2.18,2.46,1,7.92
147755,3344522,G,21.12,3.51,-2.85,20.61,4.52,2.20,-0.68,1,G,15.91,-3.43,2.79,15.51,4.42,2.18,2.46,-1,12.41
148031,5588941,G,24.83,4.13,-3.34,24.22,5.31,2.20,-0.68,-1,G,18.63,-4.04,3.27,18.16,5.20,2.18,2.46,1,18.92
148822,7891234,G,28.41,4.71,-3.83,27.71,6.07,2.20,-0.68,1,G,21.32,-4.62,3.74,20.79,5.95,2.18,2.46,-1,25.41
146511,1122334,G,32.13,5.32,-4.34,31.34,6.86,2.20,-0.68,-1,G,24.02,-5.21,4.24,23.43,6.71,2.18,2.46,1,33.18
146807,2233445,G,18.42,2.41,-1.55,18.20,2.86,2.55,-0.57,1,G,16.14,-2.34,1.51,15.92,2.78,2.55,2.57,-1,42.31
147043,3344556,T,28.94,3.71,-2.41,28.62,4.43,2.55,-0.58,-1,T,25.12,-3.65,2.36,24.83,4.34,2.55,2.56,1,55.42
147194,4455667,G,35.21,4.51,-2.92,34.83,5.37,2.55,-0.57,1,G,30.85,-4.42,2.86,30.50,5.27,2.55,2.57,-1,68.75
147755,5566778,G,42.13,5.41,-3.51,41.66,6.45,2.55,-0.58,-1,G,36.92,-5.29,3.43,36.49,6.30,2.55,2.56,1,80.13
148031,6677889,G,55.42,7.12,-4.61,54.82,8.48,2.55,-0.58,1,G,46.83,-6.97,4.51,46.30,8.30,2.55,2.56,-1,89.42
148822,7788990,G,58.91,7.55,-4.92,58.27,9.01,2.55,-0.58,-1,G,49.21,-7.41,4.81,48.66,8.83,2.55,2.56,1,91.18
146511,8899001,G,52.13,5.84,-3.71,51.65,6.92,2.71,-0.57,1,G,44.92,-5.71,3.62,44.50,6.77,2.71,2.57,-1,91.19
