# storyId era(0=contemp,1=hist) x y z startRow numLines
0 0 1.0151 -1.6917 -1.0381 0 3
1 0 6.1649 1.8563 2.3741 3 2
2 0 -3.5106 1.5324 0.4161 5 2
3 0 6.1373 0.6399 -2.6398 7 2
4 0 5.2425 -2.7412 1.0783 9 2
5 0 -4.2024 -2.3366 0.8696 11 2
6 0 4.4441 -2.5888 -2.4650 13 3
7 0 -0.3692 1.6074 -0.6070 16 3
8 0 -2.1513 -1.2085 -1.4331 19 2
9 0 -1.7764 -0.7891 1.4861 21 2
10 0 5.0114 0.4263 0.0912 23 2
11 0 4.6324 -0.6586 2.6442 25 2
12 0 3.9503 1.5592 2.3816 27 2
13 0 3.9899 0.8280 -2.0559 29 2
14 0 5.8080 -1.2024 -1.6217 31 2
15 0 -2.6791 0.8159 -1.5573 33 2
16 0 3.9847 -1.6844 -0.6757 35 3
17 0 4.0413 -4.3109 1.0225 38 3
18 0 -3.3296 -0.7239 0.0664 41 3
19 0 -0.6703 -1.4608 0.0084 44 3
20 0 -1.4501 0.9578 0.8406 47 2
21 0 4.9735 2.1505 0.9477 49 3
22 0 -1.0514 0.0770 -1.0519 52 2
23 0 -3.7371 0.1252 1.4941 54 2
24 0 -1.9944 1.9614 -0.4736 56 3
25 0 5.3297 0.5382 1.7250 59 2
26 0 5.4970 1.4150 -1.0843 61 2
27 0 4.4975 -3.0884 -1.0448 63 2
28 0 -2.2074 0.1884 -0.1592 65 2
29 0 -2.1791 -1.5846 0.3348 67 2
30 0 -3.4934 -2.1393 -0.3650 69 3
31 0 -1.2218 2.3739 0.6063 72 2
32 0 3.3269 -2.1769 -1.7814 74 2
33 0 4.0407 -2.9906 1.5530 76 2
34 0 -2.5469 0.2295 1.0757 78 2
35 0 -1.1105 -0.2718 0.2369 80 2
36 0 4.4307 -2.6168 0.1066 82 2
37 0 -3.1449 -0.0655 -0.9001 84 3
38 0 5.0560 1.7168 2.0494 87 3
39 0 4.7381 1.3022 3.1920 90 3
40 0 4.2797 -1.5373 -1.8121 93 3
41 0 -2.7980 1.1453 -0.4168 96 3
42 0 -1.4509 1.1375 -1.0250 99 2
43 0 -3.2338 -1.6838 0.7132 101 2
44 0 -1.0985 -1.0470 -0.9417 103 2
45 0 4.5402 1.1654 1.1859 105 2
46 0 4.7901 1.4984 -0.0272 107 2
47 0 -2.4998 -1.2425 2.1705 109 2
48 0 -0.5455 0.9025 0.2345 111 2
49 0 -2.4703 1.3019 0.6420 113 2
50 0 -3.4542 0.4613 0.0945 115 2
51 0 -3.0106 -0.7618 1.1859 117 2
52 0 -2.0188 -0.0480 -1.4404 119 2
53 0 -1.9924 -0.7802 -0.4086 121 3
54 0 4.9823 1.1351 -1.9012 124 2
55 0 5.6982 2.3684 1.6575 126 3
56 0 -1.1463 2.1153 -0.9634 129 2
57 0 5.0938 -1.8636 -2.6488 131 2
58 0 -1.1414 -0.0803 1.2779 133 3
59 0 -2.8771 -1.1857 -0.6582 136 3
60 0 -1.2848 1.5647 0.0813 139 3
61 0 -2.2944 -0.5124 0.5106 142 3
62 0 4.8857 -2.2284 -0.8552 145 3
63 0 -1.7763 1.3222 -1.9075 148 3
64 0 4.4299 -3.3769 0.7717 151 2
65 0 5.7946 1.4452 1.5963 153 3
66 0 -1.2613 0.5432 -0.1847 156 2
67 0 0.1922 -1.7243 -0.0323 158 2
68 1 4.1459 -2.3604 -1.4727 160 3
69 1 4.6272 0.1188 2.2060 163 3
70 1 -3.2119 0.8157 1.0563 166 3
71 1 -1.9715 1.0350 -0.0510 169 3
72 1 -0.6026 0.7873 -0.7949 172 3
73 1 -1.4318 -1.1120 0.2268 175 2
74 1 5.6297 1.0968 -0.2977 177 2
75 1 5.7595 0.9682 2.3290 179 3
76 1 3.8434 -2.6496 -0.7142 182 3
77 1 -3.4717 0.6954 -1.0515 185 3
78 1 -2.2193 0.6174 -0.8764 188 2
79 1 -2.4301 -0.3146 1.6963 190 2
80 1 -1.7557 0.2284 0.5384 192 2
81 1 -3.6904 -1.2647 -0.5133 194 2
82 1 -3.8364 -1.1381 0.5797 196 2
83 1 -4.0141 -1.8450 0.1909 198 3
84 1 -3.0820 -0.1252 0.5960 201 2
85 1 5.3359 1.4791 0.7084 203 3
86 1 -2.8457 -1.8098 -0.0371 206 2
87 1 -1.3461 0.7758 1.6025 208 2
88 1 -0.4190 -0.8220 -0.3792 210 2
89 1 5.3247 -2.8052 0.3026 212 2
90 1 5.6448 0.6416 -2.0338 214 2
91 1 -1.5786 -0.1195 -0.4904 216 2
92 1 4.4070 1.0870 1.9941 218 2
93 1 -1.6588 0.5434 -1.7535 220 2
94 1 -2.5018 -1.2843 1.3750 222 3
95 1 4.3757 1.2112 -2.5685 225 3
96 1 -2.8747 -1.0298 -1.4396 228 3
97 1 -1.0299 1.6829 0.7832 231 3
98 1 -2.1866 1.1370 1.3005 234 3
99 1 -0.7795 0.3802 0.6895 237 3
100 1 -1.7978 2.1308 0.2043 240 3
101 1 -0.5740 0.1119 -0.5080 243 3
102 1 -2.3533 -0.5202 -0.9779 246 3
103 1 6.0357 0.5584 1.7939 249 3
104 1 4.8156 1.2664 -1.1940 252 3
105 1 -1.4082 -0.8080 0.8626 255 3
106 1 4.5273 -2.8931 -1.7305 258 3
107 1 3.8894 -2.2324 -2.1990 261 2
108 1 -2.9144 0.4253 -0.3516 263 2
109 1 -2.5764 0.7687 0.2023 265 2
110 1 -2.7620 -1.1744 0.2393 267 3
111 1 3.7237 -1.5988 -1.3173 270 2
112 1 -1.8270 0.0266 1.2323 272 2
113 1 4.7165 -2.1904 -1.8121 274 2
114 1 -1.0043 1.2283 -0.4583 276 3
115 1 -2.0638 1.3028 -0.6687 279 3
116 1 4.4970 1.7122 0.7418 282 3
117 1 5.1432 1.3972 1.4098 285 2
118 1 4.6382 1.6308 2.5738 287 3
119 1 4.4968 -1.7984 -1.2300 290 3
120 1 -2.6495 0.1640 -1.3847 293 3
121 1 5.2722 1.3387 2.5954 296 3
122 1 -1.5661 0.4869 -0.9634 299 3
123 1 -2.6748 -0.2572 -0.0062 302 3
124 1 -2.9816 1.2890 -1.0369 305 3
125 1 -1.7473 -0.4555 0.1119 308 3
126 1 -3.4721 -1.5002 0.0607 311 3
127 1 -2.1895 0.7260 0.7398 314 3
128 1 4.3755 1.3537 -1.8575 317 3
129 1 4.9904 0.9156 -0.3292 320 3
130 1 -3.6773 -0.1602 0.3496 323 3
131 1 3.7356 1.1131 1.9712 326 3
132 1 -1.2412 -0.8211 -0.3626 329 3
133 1 5.7745 1.0250 -1.5471 332 3
134 1 4.8430 -1.5425 -2.0982 335 3
135 1 -2.2943 1.5770 -0.0249 338 3
136 1 -3.6342 0.4392 0.7895 341 2
137 1 5.5322 1.8494 1.1713 343 3
138 1 4.5757 1.6059 1.6692 346 3
139 1 4.4431 -2.6833 -0.5571 349 3
140 1 -3.2268 -2.1725 0.2829 352 3
141 1 -1.5542 -0.3339 -1.0632 355 3
